Date,P-1 TMF T/hr,P-2 TMF T/hr,P-3 TMF T/hr,I-1 TMF T/hr,I-2 TMF T/hr,Total_prod_tph,Total_inj_tph
1998-09-27,426.3838489880949,366.1678462916665,,141.07420175979752,564.2968070391901,792.5516952797614,705.3710087989875
1998-10-04,601.9245214404756,632.3441302499998,,219.69982000090462,878.7992800036185,1234.2686516904755,1098.4991000045231
1998-10-11,571.3014948928567,618.2552029761902,,211.74109222069032,846.9643688827613,1189.556697869047,1058.7054611034516
1998-10-18,534.7803156488092,492.29742685119,,182.81983816499988,731.2793526599995,1027.0777424999992,914.0991908249993
1998-10-25,596.1733408869044,512.8443668571425,,197.4051519784404,789.6206079137615,1109.017707744047,987.0257598922019
1998-11-01,582.5349490178569,523.8341621071424,,196.9337017802499,787.7348071209996,1106.3691111249993,984.6685089012493
1998-11-08,587.0922774702377,530.0765167202376,,198.85604536590463,795.4241814636185,1117.1687941904752,994.280226829523
1998-11-15,587.8471248749994,523.6669507738092,,138.05705504963083,552.2282201985233,775.6014328630945,690.2852752481541
1998-11-22,480.56473481249975,520.4323023273804,,141.5172485552023,566.0689942208091,795.0407222202375,707.5862427760114
1998-11-29,620.2280425357139,521.6304379464283,,203.25080952582132,813.0032381032853,1141.8584804821423,1016.2540476291067
1998-12-06,421.9679334916664,520.8250898273803,,146.3570746760713,585.4282987042852,822.2307566071421,731.7853733803565
1998-12-13,378.7505658273804,515.6157635833329,,159.197206635107,636.788826540428,894.3663294107133,795.9860331755348
1998-12-20,393.7242184345235,512.1620812023805,,161.24776133536892,644.9910453414757,905.8862996369038,806.2388066768445
1998-12-27,319.06159826785654,512.3708695416661,,147.99497927009503,591.9799170803801,831.4324678095227,739.9748963504753
1999-01-03,475.48164385714244,504.83699645833286,,174.4967179761546,697.9868719046184,980.3186403154752,872.4835898807731
1999-01-10,460.65265991666644,485.39723757142826,,168.3968817528809,673.5875270115235,946.0498974880946,841.9844087644043
1999-01-17,385.7761935119043,481.8843994821426,,147.39340427548322,617.7743422117613,867.6605929940469,723.0553452656779
1999-01-24,450.57354277976174,474.08720770238057,,,658.3584543432853,924.6607504821422,658.3584543432853
1999-01-31,547.1395111309522,474.5986021011901,,,727.4775366212854,1021.7381132321423,727.4775366212854
1999-02-07,405.4047526904757,465.34851241071385,,,619.9763247520469,870.7532651011896,619.9763247520469
1999-02-14,441.9983862142853,461.3873028869044,,,643.2106106400471,903.3856891011898,643.2106106400471
1999-02-21,477.66034570238037,450.7770359107139,,,661.0474157085231,928.4373816130943,661.0474157085231
1999-02-28,489.7811749702375,429.24455838690443,,,654.3463221502851,919.0257333571419,654.3463221502851
1999-03-07,489.89160956547585,455.02836732142845,,,672.7830235434759,944.9199768869042,672.7830235434759
1999-03-14,487.65135401190446,432.47827601190426,,,655.1322965769517,920.1296300238088,655.1322965769517
1999-03-21,440.5936935666664,255.12635579761857,,,405.7233294846662,569.836136916666,405.7233294846662
1999-03-28,407.33728879166625,275.4817945892856,,,486.1671873672377,682.8190833809518,486.1671873672377
1999-04-04,449.06297335714214,260.03356377976155,,133.89341127793733,504.8767344414755,709.0965371369037,581.3872551717253
1999-04-11,464.8595070416664,258.670724773809,,128.78838126315463,515.1535250526185,723.5302318154754,643.9419063157732
1999-04-18,428.33360285416614,208.36717554166623,,102.44082693902365,409.7633077560946,575.51026370238,512.2041346951183
1999-04-25,470.53480607638835,439.88693485416627,,116.53295292939275,466.131811717571,654.6795108392851,582.6647646469637
1999-05-02,534.1580610119045,397.6077198095235,,165.85430898621416,663.4172359448567,931.7657808214278,829.2715449310708
1999-05-09,550.493835416666,334.4944748630948,,73.53828834051183,294.1531533620473,413.13645135119,367.69144170255913
1999-05-16,,336.70094210119015,,59.93276769401185,239.7310707760474,336.70094210119015,299.6638384700592
1999-05-23,,300.1975489999997,,53.435163721999956,213.74065488799982,300.1975489999997,267.1758186099998
1999-05-30,,243.22145354761872,,43.29341873147614,173.17367492590455,243.22145354761872,216.46709365738067
1999-06-06,,202.79133321428557,,36.09685731214284,144.38742924857135,202.79133321428557,180.4842865607142
1999-06-13,,59.00692763095229,,10.503233118309506,42.012932473238024,59.00692763095229,52.51616559154753
1999-06-20,,458.5698022916664,,58.30387486279759,233.21549945119037,327.5498587797617,291.51937431398795
1999-06-27,,439.06496527976157,,78.15356381979757,312.6142552791903,439.06496527976157,390.7678190989878
1999-07-04,,435.0042632202377,,77.4307588532023,309.7230354128092,435.0042632202377,387.1537942660116
1999-07-11,,353.661192523809,,62.951692269238,251.806769076952,353.661192523809,314.75846134619
1999-07-18,,328.41864683333296,,58.45851913633328,233.83407654533312,328.41864683333296,292.29259568166634
1999-07-25,,277.3940064999994,,49.3761331569999,197.5045326279996,277.3940064999994,246.8806657849995
1999-08-01,,403.4347151888524,,71.81137930361574,287.24551721446295,403.4347151888524,359.0568965180787
1999-08-08,,354.3095891547614,,63.06710686954754,252.26842747819015,354.3095891547614,315.33553434773773
1999-08-15,,335.8424835972218,,51.2399674974047,204.9598699896188,287.86498594047583,256.1998374870235
1999-08-22,,396.13466955952356,,70.5119711815952,282.0478847263808,396.13466955952356,352.559855907976
1999-08-29,,375.6249392142853,,66.86123918014279,267.44495672057116,375.6249392142853,334.30619590071393
1999-09-05,,395.7982135629286,,70.4520820142013,281.8083280568052,395.7982135629286,352.26041007100645
1999-09-12,,363.8679341845233,,64.76849228484515,259.0739691393806,363.8679341845233,323.84246142422575
1999-09-19,,356.3548397976187,,63.43116148397614,253.72464593590456,356.3548397976187,317.15580741988066
1999-09-26,,326.40921716071387,,58.10084065460707,232.40336261842828,326.40921716071387,290.50420327303533
1999-10-03,,330.1808939642853,,58.772199125642786,235.08879650257114,330.1808939642853,293.8609956282139
1999-10-10,,315.41189244047604,,56.14331685440474,224.57326741761895,315.41189244047604,280.7165842720237
1999-10-17,,302.2825380773807,,53.806291777773765,215.22516711109506,302.2825380773807,269.0314588888688
1999-10-24,,303.43665036904713,,54.0117237656904,216.0468950627616,303.43665036904713,270.058618828452
1999-10-31,,285.7679099523807,,50.866687971523774,203.4667518860951,285.7679099523807,254.33343985761886
1999-11-07,,255.86615637499943,,45.54417583474991,182.17670333899963,255.86615637499943,227.72087917374952
1999-11-14,,343.31373581547587,0.0,61.10984497515471,244.43937990061883,343.31373581547587,305.5492248757735
